Destination Port,Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,PSH Flag Count,ACK Flag Count,Average Packet Size,Subflow Fwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Max,Active Min,Idle Mean,Idle Max,Idle Min,Attack Type
53,211,2,90,45,45,45.0,0.0,61,61,61.0,0.0,1004739.336,18957.34597,70.33333333,37.81974793,114,48,49,49.0,0.0,49,49,48,48.0,0.0,48,48,40,40,9478.672986,9478.672986,45,61,51.4,8.76356092,76.8,0,0,0,64.25,90,-1,-1,1,20,0.0,0,0,0.0,0,0,Normal Traffic
53,24919,1,46,46,46,46.0,0.0,74,74,74.0,0.0,4815.602552,80.26004254,24919.0,0.0,24919,24919,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,20,40.13002127,40.13002127,46,74,55.33333333,16.16580754,261.3333333,0,0,0,83.0,46,-1,-1,0,32,0.0,0,0,0.0,0,0,Normal Traffic
53,31389,2,74,37,37,37.0,0.0,165,165,165.0,0.0,12870.7509,127.4331772,10463.0,18079.16096,31339,2,48,48.0,0.0,48,48,2,2.0,0.0,2,2,40,40,63.71658861,63.71658861,37,165,88.2,70.10848736,4915.2,0,0,0,110.25,74,-1,-1,1,20,0.0,0,0,0.0,0,0,Normal Traffic
38967,66219,16,20514,2920,0,1282.125,1118.388893,0,0,0.0,0.0,309790.2415,332.2309307,3153.285714,10939.44483,47857,1,66219,4414.6,12849.05395,47857,2,48255,9651.0,21506.00947,48122,1,344,144,241.6224951,90.60843565,0,2920,891.9130435,1103.027112,1216668.81,0,1,0,932.4545455,20514,8192,357,11,20,0.0,0,0,0.0,0,0,Normal Traffic
49224,9,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,222222.2222,9.0,0.0,9,9,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,111111.1111,111111.1111,0,0,0.0,0.0,0.0,0,0,1,0.0,0,357,634,0,32,0.0,0,0,0.0,0,0,Normal Traffic
80,1843363,3,26,20,0,8.666666667,10.26320288,7215,0,2321.4,3327.769794,6310.748344,4.339893987,263337.5714,696381.8003,1842583,4,618,309.0,369.1097398,570,48,1843316,460829.0,921169.3699,1842583,4,72,112,1.627460245,2.712433742,0,7215,1292.555556,2650.585648,7025604.278,0,1,0,1454.125,26,8192,229,2,20,0.0,0,0,0.0,0,0,DDoS
45312,30,3,31,31,0,10.33333333,17.89785834,0,0,0.0,0.0,1033333.333,133333.3333,10.0,15.58845727,28,1,2,1.0,0.0,1,1,0,0.0,0.0,0,0,96,20,100000.0,33333.33333,0,31,6.2,13.86362146,192.2,0,0,1,7.75,31,1391,0,1,32,0.0,0,0,0.0,0,0,Normal Traffic
53,24249,1,41,41,41,41.0,0.0,73,73,73.0,0.0,4701.224793,82.47762794,24249.0,0.0,24249,24249,0,0.0,0.0,0,0,0,0.0,0.0,0,0,40,32,41.23881397,41.23881397,41,73,51.66666667,18.47520861,341.3333333,0,0,0,77.5,41,-1,-1,0,40,0.0,0,0,0.0,0,0,Normal Traffic
80,66905704,8,351,351,0,43.875,124.0972401,4344,0,1932.5,1754.831473,178.549799,0.209249723,5146592.615,18500000.0,66700000,1,66700000,9532592.286,25200000.0,66700000,1,194554,38910.8,77663.71387,177218,48,264,200,0.11957127,0.089678453,0,4344,796.4,1424.628062,2029565.114,0,0,1,853.2857143,351,274,235,1,32,1017.0,1017,1017,66700000.0,66700000,66700000,DoS
443,115312148,21,2580,1945,0,122.8571428571,432.5432100628,1823,0,221.1176470588,594.0431257864,54.9725255313,0.3295403013,3116544.54054054,4608306.93661631,10011182,4,115312148,5765607.4,4956669.80329267,10048032,4,110614125,6913382.8125,4799980.79100489,10048164,205,680,552,0.1821143771,0.1474259243,0,1945,162.5384615385,500.1549678878,250154.991902834,0,1,0,166.8157894737,2580,29200,383,4,32,46076.1818181818,136679,36813,10009737.0909091,10011182,9997270,Normal Traffic
80,115655273,19,864,762,0,45.4736842105,173.5202096526,2920,0,450.0526315789,811.8768703637,81.4057133392,0.3285626242,3125818.18918919,4613095.77170503,10018805,25,115655273,6425292.94444445,4786083.85419676,10042232,65,110340235,6130013.05555556,5025582.4601701,10042196,48,392,524,0.1642813121,0.1642813121,0,2920,241.4102564103,607.4400866253,368983.458839406,0,1,0,247.7631578947,864,8192,61,18,20,32718.8181818182,126847,23214,9998207.0,10018805,9949596,Normal Traffic
53,90530,1,47,47,47,47.0,0.0,128,128,128.0,0.0,1933.060864,22.09212416,90530.0,0.0,90530,90530,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,11.04606208,11.04606208,47,128,74.0,46.7653718,2187.0,0,0,0,111.0,47,-1,-1,0,32,0.0,0,0,0.0,0,0,Normal Traffic
53,77526,2,66,33,33,33.0,0.0,120,120,120.0,0.0,3947.062921,51.59559374,25842.0,44755.32687,77521,1,1,1.0,0.0,1,1,4,4.0,0.0,4,4,80,64,25.79779687,25.79779687,33,120,67.8,47.6518625,2270.7,0,0,0,84.75,66,-1,-1,1,40,0.0,0,0,0.0,0,0,Normal Traffic
80,1784,5,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2802.690583,446.0,380.7658948,1011,193,1784,446.0,380.7658948,1011,193,0,0.0,0.0,0,0,160,0,2802.690583,0.0,0,0,0.0,0.0,0.0,0,0,1,0.0,0,251,-1,0,32,0.0,0,0,0.0,0,0,DoS
65014,65,1,6,6,6,6.0,0.0,6,6,6.0,0.0,184615.384615385,30769.2307692308,65.0,0.0,65,65,0,0.0,0.0,0,0,0,0.0,0.0,0,0,20,20,15384.6153846154,15384.6153846154,6,6,6.0,0.0,0.0,0,0,1,9.0,6,913,256,0,20,0.0,0,0,0.0,0,0,Normal Traffic
4004,51,2,4,2,2,2.0,0.0,6,6,6.0,0.0,313725.4902,78431.37255,17.0,27.71281292,49,1,49,49.0,0.0,49,49,1,1.0,0.0,1,1,48,40,39215.68627,39215.68627,2,6,3.6,2.19089023,4.8,0,1,0,4.5,4,1024,0,1,24,0.0,0,0,0.0,0,0,Normal Traffic
80,32986025,25,2290,573,0,91.6,214.2099826,2896,0,1458.625,877.4796294,1484.446823,1.728004511,589036.1607,2269813.837,10000000,1,31400000,1308617.875,3410907.658,10200000,44,32800000,1057743.419,3054104.183,10200000,1,808,1032,0.757896715,0.970107796,0,2896,844.2413793,954.4335017,910943.3091,0,1,0,859.0526316,2290,29200,263,4,32,459432.6667,986721,195753,10000000.0,10000000,9996085,Normal Traffic
80,5972874,5,30,6,6,6.0,0.0,0,0,0.0,0.0,5.022707661,0.837117944,1493218.5,2985086.371,5970848,2,5972874,1493218.5,2985086.371,5970848,2,0,0.0,0.0,0,0,100,0,0.837117944,0.0,6,6,6.0,0.0,0.0,0,0,1,7.2,30,256,-1,4,20,2026.0,2026,2026,5970848.0,5970848,5970848,DDoS
53,532,1,51,51,51,51.0,0.0,67,67,67.0,0.0,221804.5113,3759.398496,532.0,0.0,532,532,0,0.0,0.0,0,0,0,0.0,0.0,0,0,20,20,1879.699248,1879.699248,51,67,56.33333333,9.237604307,85.33333333,0,0,0,84.5,51,-1,-1,0,20,0.0,0,0,0.0,0,0,Normal Traffic
80,88229,5,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,56.67070918,22057.25,43939.92737,87967,1,88229,22057.25,43939.92737,87967,1,0,0.0,0.0,0,0,160,0,56.67070918,0.0,0,0,0.0,0.0,0.0,0,0,1,0.0,0,274,-1,0,32,0.0,0,0,0.0,0,0,DoS
53,37442,1,55,55,55,55.0,0.0,118,118,118.0,0.0,4620.479675,53.41595,37442.0,0.0,37442,37442,0,0.0,0.0,0,0,0,0.0,0.0,0,0,20,20,26.707975,26.707975,55,118,76.0,36.37306696,1323.0,0,0,0,114.0,55,-1,-1,0,20,0.0,0,0,0.0,0,0,Normal Traffic
443,198739,6,121,121,0,20.16666667,49.39804315,1448,0,762.4,729.0739332,19789.77453,55.34897529,19873.9,35497.66838,85906,1,198739,39747.8,53496.62061,109271,1,109558,27389.5,40754.89856,86354,48,204,168,30.19035016,25.15862513,0,1448,327.75,584.501672,341642.2045,0,1,0,357.5454545,121,65535,29,1,32,0.0,0,0,0.0,0,0,Normal Traffic
443,5237723,9,385,192,0,42.77777778,77.13588299,2648,0,875.0,1149.998261,908.7918548,2.67291722,402901.7692,1379855.444,4993729,3,5237723,654715.375,1753736.583,4993729,3,206773,51693.25,78643.27926,166348,190,296,168,1.718303927,0.954613293,0,2648,317.3333333,740.2543643,547976.5238,0,1,0,340.0,385,29200,349,3,32,0.0,0,0,0.0,0,0,Normal Traffic
443,749219,17,873,496,0,51.35294118,128.0248712,2836,0,1279.263158,620.1954748,33606.99609,48.0500361,21406.25714,88939.92284,527825,1,749219,46826.1875,129263.5561,527825,3,146315,8128.611111,16471.26883,54483,1,552,616,22.69029483,25.35974128,0,2836,680.5135135,767.2056302,588604.479,0,1,0,699.4166667,873,29200,357,4,32,0.0,0,0,0.0,0,0,Normal Traffic
50242,66,1,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,30303.0303030303,66.0,0.0,66,66,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,32,15151.5151515152,15151.5151515152,0,0,0.0,0.0,0.0,0,0,1,0.0,0,357,32832,0,32,0.0,0,0,0.0,0,0,Normal Traffic
3007,44,1,0,0,0,0.0,0.0,6,6,6.0,0.0,136363.6364,45454.54545,44.0,0.0,44,44,0,0.0,0.0,0,0,0,0.0,0.0,0,0,40,20,22727.27273,22727.27273,0,6,2.0,3.464101615,12.0,0,1,0,3.0,0,29200,0,0,40,0.0,0,0,0.0,0,0,Port Scanning
53,298910,4,140,35,35,35.0,0.0,134,134,134.0,0.0,1364.959352,20.07293165,59782.0,117392.5663,268452,3,30454,10151.33333,17576.56293,30447,3,4,4.0,0.0,4,4,128,64,13.38195443,6.690977217,35,134,63.28571429,48.30705361,2333.571429,0,0,0,73.83333333,140,-1,-1,3,32,0.0,0,0,0.0,0,0,Normal Traffic
56380,3,1,6,6,6,6.0,0.0,6,6,6.0,0.0,4000000.0,666666.666666667,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0.0,0.0,0,0,20,20,333333.333333333,333333.333333333,6,6,6.0,0.0,0.0,0,0,1,9.0,6,32,32850,0,20,0.0,0,0,0.0,0,0,Normal Traffic
53,241,2,70,35,35,35.0,0.0,51,51,51.0,0.0,713692.9461,16597.51037,80.33333333,127.0800273,227,3,3,3.0,0.0,3,3,11,11.0,0.0,11,11,40,40,8298.755187,8298.755187,35,51,41.4,8.76356092,76.8,0,0,0,51.75,70,-1,-1,1,20,0.0,0,0,0.0,0,0,Normal Traffic
80,6258404,9,1004,502,0,111.5555556,221.361193,1460,0,759.2857143,732.7015569,1009.682341,2.556562344,417226.9333,763840.4009,2361001,2,6258230,782278.75,936815.4255,2415958,52182,3204318,534053.0,908072.2492,2361001,2,312,232,1.438066319,1.118496026,0,1460,371.7058824,581.5878872,338244.4706,0,1,0,394.9375,1004,29200,4882,2,32,0.0,0,0,0.0,0,0,Normal Traffic
80,1725326,4,24,6,6,6.0,0.0,0,0,0.0,0.0,13.91041461,2.318402435,575108.6667,996113.9664,1725322,1,1725326,575108.6667,996113.9664,1725322,1,0,0.0,0.0,0,0,80,0,2.318402435,0.0,6,6,6.0,0.0,0.0,0,0,1,7.5,24,256,-1,3,20,0.0,0,0,0.0,0,0,DDoS
80,96759141,8,56,20,0,7.0,5.656854249,7215,0,2321.4,3327.769794,120.5364153,0.134354231,8063261.75,24600000.0,85700000,0,95000000,13600000.0,32000000.0,85700000,0,1793968,448492.0,896268.0878,1792894,4,172,112,0.082679527,0.051674704,0,7215,833.5,2175.302587,4731941.346,0,0,1,897.6153846,56,256,229,6,20,978.0,978,978,47500000.0,85700000,9218783,DDoS
34572,53,1,2,2,2,2.0,0.0,6,6,6.0,0.0,150943.3962,37735.84906,53.0,0.0,53,53,0,0.0,0.0,0,0,0,0.0,0.0,0,0,24,20,18867.92453,18867.92453,2,6,3.333333333,2.309401077,5.333333333,0,1,0,5.0,2,1024,0,0,24,0.0,0,0,0.0,0,0,Port Scanning
443,10526993,9,2603,2259,0,289.2222222222,741.7576723192,1685,2,655.0833333333,721.6809239966,994.0160499774,1.9948716599,526349.65,2230322.59174417,9998889,18,527875,65984.375,88804.4868508303,246196,1143,10494673,954061.181818182,3001018.8271632,9999000,50,192,244,0.8549449971,1.1399266628,0,2259,475.6363636364,725.5897138883,526480.432900433,0,1,0,498.2857142857,2603,8192,35040,8,20,527875.0,527875,527875,9998889.0,9998889,9998889,Normal Traffic
53,23502,1,46,46,46,46.0,0.0,62,62,62.0,0.0,4595.3535869288,85.0991404987,23502.0,0.0,23502,23502,0,0.0,0.0,0,0,0,0.0,0.0,0,0,32,20,42.5495702493,42.5495702493,46,62,51.3333333333,9.237604307,85.3333333333,0,0,0,77.0,46,-1,-1,0,32,0.0,0,0,0.0,0,0,Normal Traffic
80,996,6,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,6024.096386,199.2,441.5140994,989,0,996,199.2,441.5140994,989,0,0,0.0,0.0,0,0,192,0,6024.096386,0.0,0,0,0.0,0.0,0.0,0,0,1,0.0,0,251,-1,0,32,0.0,0,0,0.0,0,0,DoS
80,33752368,7,434,434,0,62.0,164.0365813,1963,0,280.4285714,741.9442605,71.01723944,0.414785712,2596336.0,4382983.227,10200000,15,30600000,5091969.333,5551330.13,10200000,111,33700000,5619232.833,5117585.334,10200000,949,232,232,0.207392856,0.207392856,0,1963,159.8,511.2089592,261334.6,0,1,0,171.2142857,434,29200,939,1,32,49581.0,74955,36873,10100000.0,10200000,9996840,Normal Traffic
80,144713,3,323,323,0,107.6666667,186.4841369,7240,0,1932.5,2695.639126,82356.11175,62.19206291,18089.125,42141.39729,121344,5,23012,11506.0,7778.174593,17006,6006,144693,28938.6,52597.68438,121344,65,104,200,20.73068764,41.46137527,0,7240,1191.8,2227.109377,4960016.178,0,1,0,1324.222222,323,29200,235,1,32,0.0,0,0,0.0,0,0,DoS
